cate,stimulus,schAns
1,Practice/PracTarg/01.jpg,f
1,Practice/PracTarg/02.jpg,f
1,Practice/PracTarg/01.jpg,f
1,Practice/PracTarg/02.jpg,f
1,Practice/PracSearch/21.jpg,j
1,Practice/PracSearch/22.jpg,j
1,Practice/PracSearch/23.jpg,j
1,Practice/PracSearch/24.jpg,j
1,Practice/PracSearch/25.jpg,j
1,Practice/PracSearch/26.jpg,j
1,Practice/PracSearch/27.jpg,j
1,Practice/PracSearch/28.jpg,j
1,Practice/PracSearch/29.jpg,j
1,Practice/PracSearch/210.jpg,j
1,Practice/PracSearch/211.jpg,j
1,Practice/PracSearch/212.jpg,j
1,Practice/PracSearch/213.jpg,j
1,Practice/PracSearch/214.jpg,j
1,Practice/PracSearch/215.jpg,j
1,Practice/PracSearch/216.jpg,j
2,Practice/PracTarg/04.jpg,f
2,Practice/PracTarg/05.jpg,f
2,Practice/PracTarg/04.jpg,f
2,Practice/PracTarg/05.jpg,f
2,Practice/PracSearch/41.jpg,j
2,Practice/PracSearch/42.jpg,j
2,Practice/PracSearch/43.jpg,j
2,Practice/PracSearch/44.jpg,j
2,Practice/PracSearch/45.jpg,j
2,Practice/PracSearch/46.jpg,j
2,Practice/PracSearch/47.jpg,j
2,Practice/PracSearch/48.jpg,j
2,Practice/PracSearch/49.jpg,j
2,Practice/PracSearch/410.jpg,j
2,Practice/PracSearch/411.jpg,j
2,Practice/PracSearch/412.jpg,j
2,Practice/PracSearch/413.jpg,j
2,Practice/PracSearch/414.jpg,j
2,Practice/PracSearch/415.jpg,j
2,Practice/PracSearch/416.jpg,j
